"label","type","author","title","journal","year","volume","number","pages","note","url","document_type","source","doi","art_number","matches"
"Beckmann2018396","ARTICLE","Beckmann, J.P. and Lackey, C.W.","Lessons learned from a 20-year collaborative study on American black bears","Human-Wildlife Interactions","2018","12","3","396-404","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059299211&partnerID=40&md5=b4bf457e7484fb262dee6d39c2c8ca00","Article","Scopus",NA,NA,1
"Karanth2018","ARTICLE","Karanth, K.K. and Kudalkar, S. and Jain, S.","Re-building communities: Voluntary resettlement from protected areas in India","Frontiers in Ecology and Evolution","2018","6","NOV",NA,"cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057291573&doi=10.3389%2ffevo.2018.00183&partnerID=40&md5=e3775fbbfeae5fa7bc85c52e32a54196","Article","Scopus","10.3389/fevo.2018.00183","183",2
"Haidt2018","ARTICLE","Haidt, A. and Kamiski, T. and Borowik, T. and Kowalczyk, R.","Human and the beastFlight and aggressive responses of European bison to human disturbance","PLoS ONE","2018","13","8",NA,"cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050913405&doi=10.1371%2fjournal.pone.0200635&partnerID=40&md5=975702ab15624c6f4c556f3bb97ef186","Article","Scopus","10.1371/journal.pone.0200635","e0200635",3
"Hovardas20181","BOOK","Hovardas, T.","Large carnivore conservation and management: Human dimensions","Large Carnivore Conservation and Management: Human Dimensions","2018",NA,NA,"1-345","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059998114&doi=10.4324%2f9781315175454&partnerID=40&md5=7ca2c4298e48f1bdb49d497a42d5e219","Book","Scopus","10.4324/9781315175454",NA,4
"Frigerio2018365","ARTICLE","Frigerio, D. and Pipek, P. and Kimmig, S. and Winter, S. and Melzheimer, J. and Diblkov, L. and Wachter, B. and Richter, A.","Citizen science and wildlife biology: Synergies and challenges","Ethology","2018","124","6","365-377","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046705002&doi=10.1111%2feth.12746&partnerID=40&md5=5f95b6c77039ac21d329f1e7b7e03234","Review","Scopus","10.1111/eth.12746",NA,5
"Sten2018","ARTICLE","Sten, O.-G. and Ordiz, A. and Sahln, V. and Arnemo, J.M. and Saebo, S. and Mattsing, G. and Kristofferson, M. and Brunberg, S. and Kindberg, J. and Swenson, J.E.","Brown bear (Ursus arctos) attacks resulting in human casualties in Scandinavia 19772016; management implications and recommendations","PLoS ONE","2018","13","5",NA,"cited By 2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047547741&doi=10.1371%2fjournal.pone.0196876&partnerID=40&md5=2bb2404f652070b0dfcdc38f81e3ac83","Article","Scopus","10.1371/journal.pone.0196876","e0196876",6
"Heneghan201854","ARTICLE","Heneghan, M.D. and Morse, W.","Finding our bearings: Understanding public attitudes toward growing black bear populations in Alabama","Human Dimensions of Wildlife","2018","23","1","54-70","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033707550&doi=10.1080%2f10871209.2017.1386248&partnerID=40&md5=d0ffb7bf926cf01995be12e68c9d9e46","Article","Scopus","10.1080/10871209.2017.1386248",NA,7
"Schttler2018","ARTICLE","Schttler, E. and Saavedra-Aracena, L. and Jimnez, J.E.","Domestic carnivore interactions with wildlife in the Cape Horn Biosphere Reserve, Chile: Husbandry and perceptions of impact from a community perspective","PeerJ","2018","2018","1",NA,"cited By 4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039984504&doi=10.7717%2fpeerj.4124&partnerID=40&md5=f4c4fada2ea15a23168779c6739a34a4","Article","Scopus","10.7717/peerj.4124","e4124",8
"Luther2018186","ARTICLE","Luther, E.","Urban Wildlife Organizations and the Institutional Entanglements of Conservation's Urban Turn","Society and Animals","2018","26","2","186-196","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049124830&doi=10.1163%2f15685306-12341587&partnerID=40&md5=82661c1e526ddcecb9ee177b963ad9bc","Article","Scopus","10.1163/15685306-12341587",NA,9
"Behr20171919","ARTICLE","Behr, D.M. and Ozgul, A. and Cozzi, G.","Combining human acceptance and habitat suitability in a unified socio-ecological suitability model: a case study of the wolf in Switzerland","Journal of Applied Ecology","2017","54","6","1919-1929","cited By 3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013321982&doi=10.1111%2f1365-2664.12880&partnerID=40&md5=96442d89c92cbf1375bca8795ddbda74","Article","Scopus","10.1111/1365-2664.12880",NA,10
